Time,Computer,Rack,PCB_id,Chip_id,Chip_v,Efuse_high,Efuse_low,Matrix id,Polarization,Mode,FE,FE active,RF Freq,IF Freq,LO Freq,atten IF,atten RF,Path IF,Path FE,PA Bias,P_in,P_out,Gain,CPin,CPout,CPin3,CPout3,Psat_in,Psat,Curr_1V2,Curr_1V5,Curr_1V8,Curr_2V7_FE,Curr_2V7_LO,Curr_2V7,Temp_FE00,Temp_FE01,Temp_FE02,Temp_FE03,Temp_FE04,Temp_FE05,Temp_FE06,Temp_FE07,Temp_FE08,Temp_FE09,Temp_FE10,Temp_FE11,Temp_FE12,Temp_FE13,Temp_FE14,Temp_FE15,TempADC_FE00,TempADC_FE01,TempADC_FE02,TempADC_FE03,TempADC_FE04,TempADC_FE05,TempADC_FE06,TempADC_FE07,TempADC_FE08,TempADC_FE09,TempADC_FE10,TempADC_FE11,TempADC_FE12,TempADC_FE13,TempADC_FE14,TempADC_FE15,Temp target,Temp ambient
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-20,-7.87,12.13,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.47E-01,1.93E-01,5.09E-01,28,28,29,28,28,28,28,28,28,28,28,28,28,28,28,28,554,574,525,566,547,562,552,540,552,540,555,529,552,552,512,532,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-18,-6.43,11.57,-18,-6.43,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.48E-01,1.93E-01,5.09E-01,28,28,29,28,29,28,28,28,28,28,28,28,28,28,28,28,554,574,526,566,546,562,553,540,552,541,554,530,552,552,511,531,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-16,-5.26,10.74,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.94E-01,1.43E-03,7.50E-01,1.93E-01,5.09E-01,28,28,28,29,29,28,28,28,28,28,28,28,28,28,28,28,553,574,526,565,546,563,552,540,552,539,554,529,552,552,511,531,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-14,-4.09,9.91,NaN,NaN,-14,-4.09,NaN,NaN,1.11E-01,4.95E-01,1.43E-03,7.51E-01,1.93E-01,5.09E-01,28,28,29,29,29,28,28,28,29,28,28,28,28,28,28,28,553,573,525,565,545,562,552,539,552,539,554,528,552,551,510,531,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-12,-3.12,8.88,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.95E-01,1.43E-03,7.53E-01,1.93E-01,5.09E-01,28,28,29,29,29,28,28,28,29,29,28,28,28,28,28,28,553,573,525,565,545,562,551,541,551,539,553,529,551,551,511,531,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-10,-2.51,7.49,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.95E-01,1.43E-03,7.55E-01,1.93E-01,5.09E-01,28,29,29,29,29,28,28,28,29,29,28,28,28,28,28,28,552,572,525,565,545,561,552,540,551,539,553,529,552,551,510,531,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-8,-2.06,5.94,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.95E-01,1.43E-03,7.57E-01,1.93E-01,5.09E-01,28,29,29,29,29,28,28,28,29,29,28,29,28,28,28,28,553,572,526,565,546,561,551,540,551,538,553,529,551,551,510,530,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-6,-1.75,4.25,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.96E-01,1.43E-03,7.59E-01,1.93E-01,5.09E-01,28,29,29,29,29,28,28,28,29,29,28,29,28,28,28,28,552,572,526,565,546,561,551,540,551,538,553,528,551,551,510,530,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-4,-1.55,2.45,NaN,NaN,NaN,NaN,NaN,NaN,1.11E-01,4.98E-01,1.44E-03,7.60E-01,1.93E-01,5.09E-01,28,29,29,29,29,28,28,29,29,29,28,29,28,28,28,28,552,572,524,565,546,560,551,539,551,538,553,528,551,551,510,530,25,25
2018-11-07 15:19,ESELDMWH7182,3,T581806177,1a3,3,0,2830,M15; M17,V,RX,0,16,37,3.072,6.678666667,2.73,19.87,RX_IF_V,FE00_V,"[9,9,5,1,1,1]",-2,-1.44,0.56,NaN,NaN,NaN,NaN,-2,-1.44,1.11E-01,5.00E-01,1.43E-03,7.61E-01,1.93E-01,5.09E-01,28,28,29,29,29,28,28,29,29,29,28,29,28,28,28,28,552,573,524,565,545,560,551,539,551,538,553,527,551,550,510,530,25,25
